doc_id,kb_id,doc_type,title,region,channel,language,status,confidence_level,customer_visible,effective_start,effective_end,last_updated,policy_version,applies_to_region,applies_to_channel,applies_to_order_date_start,applies_to_order_date_end,applies_to_fulfillment_model,supersedes_policy_version,exception_priority
pc_001,5,shipping_policy,US Shipping and Delivery Policy,US,web/app/contact-center,en-US,approved,official,true,2026-01-01,2026-12-31,2026-02-12,SHIP-US-v3.2,US,all,2026-01-01,2026-12-31,all,SHIP-US-v3.1,
pc_002,5,returns_refunds_exchanges_policy,US Returns Refunds and Exchanges Policy,US,web/app/store/contact-center,en-US,approved,official,true,2026-01-01,2026-12-31,2026-02-14,RET-US-v4.1,US,all,2026-01-01,2026-12-31,all,RET-US-v4.0,
pc_003,5,policy_compliance,US Consumer Policy and Restricted Items Compliance Guide,US,web/store/contact-center/marketplace,en-US,approved,official,false,2026-01-01,2026-12-31,2026-02-10,COMP-US-v2.7,US,all,2026-01-01,2026-12-31,all,COMP-US-v2.6,
pc_004,5,legal_approved_response,Approved Response Templates: Privacy Requests (US),US,contact-center,en-US,approved,official,false,2026-01-01,2026-12-31,2026-02-11,LEG-PRIV-US-v1.9,US,contact-center,2026-01-01,2026-12-31,all,,
pc_005,5,legal_approved_response,Approved Response Templates: Warranty and Return Denial Messaging (US),US,contact-center,en-US,approved,official,false,2026-01-01,2026-12-31,2026-02-13,LEG-RET-US-v2.1,US,contact-center,2026-01-01,2026-12-31,all,,
pc_006,5,temporary_policy_exception,Temporary Holiday Return Extension (US) 2026,US,web/app/store/contact-center,en-US,active,official,true,2026-11-15,2026-12-31,2026-11-15,TEMP-RET-US-HOL-2026,US,all,2026-11-15,2026-12-31,retailer-fulfilled,RET-US-v4.1,1
pc_007,5,temporary_policy_exception,Severe Weather Delivery Delay Exception (US-NW),US-NW,web/app/contact-center,en-US,active,curated,true,2026-02-21,2026-02-28,2026-02-22,TEMP-SHIP-USNW-WX-2026-02,US-NW,all,2026-02-21,2026-02-28,all,SHIP-US-v3.2,1
pc_008,5,temporary_policy_exception,Legacy Holiday Return Extension 2025 (Expired),US,web/app/store/contact-center,en-US,expired,official,true,2025-11-15,2025-12-31,2025-12-31,TEMP-RET-US-HOL-2025,US,all,2025-11-15,2025-12-31,retailer-fulfilled,RET-US-v4.0,1
pc_009,5,policy_compliance,Marketplace Policy Override Reference (US),US,marketplace/contact-center,en-US,approved,official,false,2026-01-01,2026-12-31,2026-02-09,COMP-MKT-US-v1.4,US,marketplace/contact-center,2026-01-01,2026-12-31,seller-fulfilled,COMP-MKT-US-v1.3,
pc_010,5,legal_approved_response,Approved Response Templates: Safety Complaint Intake (US),US,contact-center,en-US,approved,official,false,2026-01-01,2026-12-31,2026-02-08,LEG-SAFE-US-v1.3,US,contact-center,2026-01-01,2026-12-31,all,,
pc_011,5,warranty_policy,US Electronics Warranty Policy,US,web/app/store/contact-center,en-US,approved,official,true,2026-01-01,2026-12-31,2026-02-20,WAR-ELEC-US-v2.0,US,all,2026-01-01,2026-12-31,all,WAR-ELEC-US-v1.0,
pc_012,5,warranty_policy,US Footwear and Apparel Warranty Policy,US,web/app/store/contact-center,en-US,approved,official,true,2026-01-01,2026-12-31,2026-02-20,WAR-FA-US-v3.0,US,all,2026-01-01,2026-12-31,all,WAR-FA-US-v2.0,
pc_013,5,pricing_policy,US Price Match and Promotion Stacking Policy,US,web/app/store/contact-center,en-US,approved,official,false,2026-01-01,2026-12-31,2026-02-20,PRICE-US-v2.3,US,all,2026-01-01,2026-12-31,all,PRICE-US-v2.2,
pc_014,5,returns_refunds_exchanges_policy,US In-Store Return Policy Addendum,US,store/contact-center,en-US,approved,official,true,2026-01-01,2026-12-31,2026-02-20,RET-STORE-US-v2.0,US,store/contact-center,2026-01-01,2026-12-31,retailer-fulfilled,RET-STORE-US-v1.0,
pc_015,5,shipping_policy,US Shipping: Hazardous Materials and Lithium Battery Restrictions,US,web/app/contact-center,en-US,approved,official,false,2026-01-01,2026-12-31,2026-02-20,SHIP-HAZ-US-v1.2,US,all,2026-01-01,2026-12-31,all,,
pc_016,5,shipping_policy,US Shipping: Store Pickup and Ship-From-Store SLA,US,web/app/store/contact-center,en-US,approved,official,false,2026-01-01,2026-12-31,2026-02-20,SHIP-SFS-US-v1.5,US,all,2026-01-01,2026-12-31,all,,
pc_017,5,policy_compliance,US Product Safety Recall and Incident Response Policy,US,contact-center,en-US,approved,official,false,2026-01-01,2026-12-31,2026-02-20,SAFE-US-v1.8,US,contact-center,2026-01-01,2026-12-31,all,,
pc_018,5,policy_compliance,US Data Privacy and Health Data Policy (Connected Devices),US,contact-center,en-US,approved,official,false,2026-01-01,2026-12-31,2026-02-20,PRIV-HEALTH-US-v1.4,US,all,2026-01-01,2026-12-31,all,,
pc_019,5,policy_compliance,Marketplace Seller Counterfeit and Suspension Policy,US,marketplace/contact-center,en-US,approved,official,false,2026-01-01,2026-12-31,2026-02-20,MKT-AUTH-US-v1.1,US,marketplace/contact-center,2026-01-01,2026-12-31,all,,
pc_020,5,temporary_policy_exception,Temp: SwiftPace Firmware Bricking Extended Warranty Replacement,US,web/app/store/contact-center,en-US,active,official,true,2026-02-22,2026-04-30,2026-02-22,TEMP-WAR-SWIFTPACE-BRICK-2026-02,US,all,2026-02-22,2026-04-30,all,WAR-ELEC-US-v2.0,1
pc_021,5,temporary_policy_exception,Temp: PeakForm Counterfeit Refund Extension,US,web/app/contact-center,en-US,active,official,true,2026-02-15,2026-05-15,2026-02-15,TEMP-REF-PEAKFORM-2026-02,US,all,2026-02-15,2026-05-15,all,RET-US-v4.1,1
pc_022,5,temporary_policy_exception,Temp: Denver Cherry Creek Store Closure Order Rerouting,US-CO,web/app/store/contact-center,en-US,active,curated,true,2026-02-23,2026-03-07,2026-02-23,TEMP-STORE-DEN021-CLOSURE-2026-02,US-CO,all,2026-02-23,2026-03-07,retailer-fulfilled,SHIP-SFS-US-v1.5,1
pc_023,5,temporary_policy_exception,Temp: SleepSync Apnea Alert Goodwill Credit,US,contact-center,en-US,active,official,false,2026-02-15,2026-03-31,2026-02-15,TEMP-GW-SLEEPSYNC-APNEA-2026-02,US,contact-center,2026-02-15,2026-03-31,all,,2
pc_024,5,legal_approved_response,Approved Response Templates: Counterfeit Product Communication,US,contact-center,en-US,approved,official,false,2026-02-15,2026-12-31,2026-02-15,LEG-COUNTERFEIT-US-v1.0,US,contact-center,2026-02-15,2026-12-31,all,,
pc_025,5,legal_approved_response,Approved Response Templates: Product Safety Incident Follow-Up,US,contact-center,en-US,approved,official,false,2026-01-15,2026-12-31,2026-02-20,LEG-SAFE-FOLLOWUP-US-v1.1,US,contact-center,2026-01-15,2026-12-31,all,,
pc_026,5,legal_approved_response,Approved Response Templates: Health Data and Wellness Device Disclaimers,US,contact-center,en-US,approved,official,false,2026-01-01,2026-12-31,2026-02-20,LEG-HEALTH-DISC-US-v1.2,US,contact-center,2026-01-01,2026-12-31,all,,
pc_027,5,returns_refunds_exchanges_policy,Legacy Electronics Return Policy 14-Day Window (Deprecated),US,contact-center,en-US,deprecated,official,false,2025-01-01,2025-12-31,2025-12-31,RET-ELEC-US-v1.0,US,all,2025-01-01,2025-12-31,all,,
pc_028,5,policy_compliance,Legacy Marketplace Seller Return Override (Deprecated),US,contact-center,en-US,deprecated,official,false,2025-01-01,2025-11-30,2025-11-30,MKT-RET-US-v1.0,US,marketplace/contact-center,2025-01-01,2025-11-30,seller-fulfilled,,
pc_029,5,policy_compliance,Legacy Goodwill Credit Policy $10 Maximum (Deprecated),US,contact-center,en-US,deprecated,official,false,2025-01-01,2026-01-31,2026-01-31,GW-US-v2.0,US,contact-center,2025-01-01,2026-01-31,all,,
